22:04:55 | shadow.cerberus      | INFO    | Cerberus shutting down. Checks: 2, Denials: 0, False positives: 0
22:04:55 | shadow.reaper        | INFO    | Reaper shutting down.
22:04:55 | shadow.orchestrator  | INFO    | Shadow offline.
22:05:04 | shadow.grimoire      | INFO    | Grimoire initialized. DB: data/memory/shadow_memory.db
22:05:04 | shadow               | INFO    | Grimoire initialized: online
22:05:04 | shadow               | INFO    | Reaper wired to Grimoire
22:05:04 | shadow.cerberus      | INFO    | Cerberus initialized. Config hash: e59bab82470eef12
22:05:04 | shadow               | INFO    | Module 'cerberus' initialized: online
22:05:08 | shadow.reaper        | INFO    | Reaper initialized. Search backends ready.
22:05:08 | shadow               | INFO    | Module 'reaper' initialized: online
22:05:09 | shadow               | INFO    | Registered module: grimoire
22:05:09 | shadow               | INFO    | Registered module: cerberus
22:05:09 | shadow               | INFO    | Registered module: reaper
22:05:09 | shadow.orchestrator  | INFO    | State loaded. Interaction count: 12
22:05:10 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'hello'
22:05:10 | shadow.orchestrator  | INFO    | Fast-path classified: hello → conversation
22:05:10 | shadow.orchestrator  | INFO    | Step 2 — Route: type=conversation, module=direct, brain=fast_brain
22:05:10 | shadow.orchestrator  | INFO    | Fast response — skipping Steps 3-6
22:05:10 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #13 (0.7ms)
22:05:59 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'type C:\Shadow\tests\test_orchestrator.py'
22:06:03 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:06:03 | shadow.orchestrator  | INFO    | Step 2 — Route: type=research, module=reaper, brain=fast_brain
22:06:05 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 3 items
22:06:05 | shadow.orchestrator  | INFO    | Step 4 — Plan: 2 steps, cerberus=True
22:06:06 | primp                | INFO    | response: https://www.bing.com/search?q=type+C%3A%5CShadow%5Ctests%5Ctest_orchestrator.py 200
22:06:12 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:06:12 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #14 (12823.9ms)
22:06:28 | shadow.orchestrator  | INFO    | Shadow shutting down...
22:06:28 | shadow.grimoire      | INFO    | Grimoire shutting down. Memories persist on disk.
22:06:28 | shadow.cerberus      | INFO    | Cerberus shutting down. Checks: 1, Denials: 0, False positives: 0
22:06:28 | shadow.reaper        | INFO    | Reaper shutting down.
22:06:28 | shadow.orchestrator  | INFO    | Shadow offline.
22:11:51 | shadow.grimoire      | INFO    | Grimoire initialized. DB: data/memory/shadow_memory.db
22:11:51 | shadow               | INFO    | Grimoire initialized: online
22:11:51 | shadow               | INFO    | Reaper wired to Grimoire
22:11:51 | shadow.cerberus      | INFO    | Cerberus initialized. Config hash: e59bab82470eef12
22:11:51 | shadow               | INFO    | Module 'cerberus' initialized: online
22:11:55 | shadow.reaper        | INFO    | Reaper initialized. Search backends ready.
22:11:55 | shadow               | INFO    | Module 'reaper' initialized: online
22:11:55 | shadow               | INFO    | Registered module: grimoire
22:11:55 | shadow               | INFO    | Registered module: cerberus
22:11:55 | shadow               | INFO    | Registered module: reaper
22:11:55 | shadow.orchestrator  | INFO    | State loaded. Interaction count: 14
22:11:56 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'what do you know about me?'
22:11:56 | shadow.orchestrator  | INFO    | Fast-path classified: what do you know about me? → memory
22:11:56 | shadow.orchestrator  | INFO    | Step 2 — Route: type=memory, module=grimoire, brain=fast_brain
22:11:59 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 2 items
22:11:59 | shadow.orchestrator  | INFO    | Step 4 — Plan: 1 steps, cerberus=True
22:12:11 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
22:12:11 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #15 (14239.5ms)
22:14:01 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'remember that my dog's name is Rex'
22:14:01 | shadow.orchestrator  | INFO    | Fast-path classified: remember that my dog's name is Rex → memory
22:14:01 | shadow.orchestrator  | INFO    | Step 2 — Route: type=memory, module=grimoire, brain=fast_brain
22:14:03 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 3 items
